Country/Area,Month (abbr),Year,Growth Rate(%),Visitor Arrivals
Pakistan,Dec.,2024,1.881067961,"1,679"
Pakistan,Jan.,2025,22.435897436,"2,674"
Pakistan,Feb.,2025,32.089961602,"2,408"
Pakistan,Mar.,2025,1.408450704,"1,728"
Pakistan,Apr.,2025,57.769482035,"3,381"
Pakistan,May,2025,10.05,"2,201"
Pakistan,Jun.,2025,72.732732733,"2,876"
Pakistan,Jul.,2025,37.276595745,"3,226"
Pakistan,Aug.,2025,30.617408907,"2,581"
Pakistan,Sep.,2025,19.691119691,"2,480"
Pakistan,Oct.,2025,13.776722090,"2,395"
Pakistan,Nov.,2025,10.253857641,"2,215"
Pakistan,Dec.,2025,19.475878499,"2,006"
Pakistan,Jan.,2026,7.142857143,"2,865"
Pakistan,Feb.,2026,-5.398671096,"2,278"
Pakistan,Mar.,2026,10.821759259,"1,915"
Pakistan,Apr.,2026,-10.233658681,"3,035"
Pakistan,May,2026,-7.542026352,"2,035"
Pakistan,Jun.,2026,,
Pakistan,Jul.,2026,,
Pakistan,Aug.,2026,,
Pakistan,Sep.,2026,,
Pakistan,Oct.,2026,,
Pakistan,Nov.,2026,,
Pakistan,Dec.,2026,,
